summed_for	col	calc_order
sem	animal	1
sem	tool	1
sem	water	1
sem	vehicle	1
sem	boat	1
sem	fruit	1
sem	verb	1
sem	ppt_w	1
sem	ppt_p	1
vbl	cvlt1	2
vbl	cvltb	2
vbl	cvlt_total	2
vbl	cvlt_ldfr	2
vbl	cvlt_ldcr	2
vbl	sem	2
vbl	ppt_w	2
vbl	bnt	2
vbl	reg	2
vbl	lang_1	2
vbl	recall1	2
vbl	fas	2
vbl	recall2	2
vbl	wm	2
exe	fas	3
exe	tmt_b	3
exe	wm	3
exe	pent	3
exe	pent_recall	3
mem	pent_recall	4
mem	recall2	4
mem	recall1	4
mem	ten_36_del	4
mem	ten_36_total	4
mem	ten_36_1	4
mem	cvlt_ldcr	4
mem	cvlt_ldfr	4
mem	cvlt_total	4
mem	cvltb	4
mem	cvlt1	4
vis	tmt_b	5
vis	tmt_a	5
vis	bnt	5
vis	ppt_p	5
vis	pent_recall	5
vis	ten_36_del	5
vis	ten_36_total	5
vis	ten_36_1	5
atn	reg	6
atn	ten_36_1	6
atn	tmt_a	6
atn	cvltb	6
atn	cvlt1	6
